DealerCode,Region,CompanyCode,CreatedOn,CreatedOnTime,Zone,DealerName,DealerCity,LicensePlateNumber,VIN,Status,ServiceType,ModelSalesCode,ModelSalesCodeDescription,Color,Mileage,OrderItem,LabPart,MaterialGroup,DescriptionOne,OrderQuantity,UnitPrice,NetValue,Tax,TotalValue,GrossValue,KeyField,IssueType,WarrantyContribution,InsuranceContribution,DiscountContribution
DL001,North,MG001,2024-09-07,02:09:36,North,MG Motors New Delhi,New Delhi,MH99BA8493,MZ7XHEM00100021,CLOSED,AC_SERVICE,HECTOR,MG Hector,Pearl White,150000.0,BD053C33-03,LAB,LABOUR,LABOUR AC,1.0,802.86,802.86,144.51,947.37,947.37,WO-BD053C33,PAID,0.0,8.81,30.0
DL008,West,MG001,2024-11-21,02:09:36,West,MG Motors Ahmedabad,Ahmedabad,DL71BA8912,MZ7XHEM00100021,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Pearl White,157500.0,7F37B2FC-01,PART,CONSUMABLE,OIL 5W30 4L,1.0,826.93,826.93,148.85,975.78,975.78,WO-7F37B2FC,PAID,0.0,97.35,25.88
DL008,West,MG001,2024-11-21,02:09:36,West,MG Motors Ahmedabad,Ahmedabad,KA94AB2696,MZ7XHEM00100021,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Pearl White,157500.0,7F37B2FC-02,PART,FILTER,OIL FILTER,1.0,272.44,272.44,49.04,321.48,321.48,WO-7F37B2FC,PAID,0.0,50.22,14.63
DL008,West,MG001,2024-11-21,02:09:36,West,MG Motors Ahmedabad,Ahmedabad,WB54BB5067,MZ7XHEM00100021,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Pearl White,157500.0,7F37B2FC-03,LAB,LABOUR,LABOUR OIL,1.0,377.48,377.48,67.95,445.43,445.43,WO-7F37B2FC,PAID,0.0,53.5,19.66
DL008,West,MG001,2024-12-16,02:09:36,West,MG Motors Ahmedabad,Ahmedabad,WB78BB5897,MZ7XHEM00100021,CLOSED,TYRE_ROTATION,HECTOR,MG Hector,Pearl White,160000.0,487E609A-01,LAB,LABOUR,LABOUR TYRE,1.0,394.1,394.1,70.94,465.04,465.04,WO-487E609A,PAID,0.0,42.12,3.1
DL006,West,MG001,2024-12-16,02:09:36,West,MG Motors Pune,Pune,TS88AC3173,MZ7XHEM00100021,CLOSED,FULL_SERVICE,HECTOR,MG Hector,Pearl White,160000.0,D04DFACB-01,PART,CONSUMABLE,OIL 5W30 4L,1.0,987.1,987.1,177.68,1164.78,1164.78,WO-D04DFACB,PAID,0.0,147.36,11.7
DL006,West,MG001,2024-12-16,02:09:36,West,MG Motors Pune,Pune,GJ91AA6771,MZ7XHEM00100021,CLOSED,FULL_SERVICE,HECTOR,MG Hector,Pearl White,160000.0,D04DFACB-02,PART,FILTER,OIL FILTER,1.0,278.13,278.13,50.06,328.19,328.19,WO-D04DFACB,PAID,0.0,42.67,15.73
DL006,West,MG001,2024-12-16,02:09:36,West,MG Motors Pune,Pune,WB87BB5684,MZ7XHEM00100021,CLOSED,FULL_SERVICE,HECTOR,MG Hector,Pearl White,160000.0,D04DFACB-03,PART,FILTER,AIR FILTER,1.0,568.68,568.68,102.36,671.04,671.04,WO-D04DFACB,PAID,0.0,78.22,31.63
DL006,West,MG001,2024-12-16,02:09:36,West,MG Motors Pune,Pune,MH04BA3381,MZ7XHEM00100021,CLOSED,FULL_SERVICE,HECTOR,MG Hector,Pearl White,160000.0,D04DFACB-04,PART,FILTER,FUEL FILTER,1.0,569.37,569.37,102.49,671.86,671.86,WO-D04DFACB,PAID,0.0,56.76,0.43
DL006,West,MG001,2024-12-16,02:09:36,West,MG Motors Pune,Pune,KA37AC3399,MZ7XHEM00100021,CLOSED,FULL_SERVICE,HECTOR,MG Hector,Pearl White,160000.0,D04DFACB-05,LAB,LABOUR,LABOUR FULL,1.0,1242.45,1242.45,223.64,1466.09,1466.09,WO-D04DFACB,PAID,0.0,16.6,19.57
DL005,South,MG001,2024-05-08,11:24:00,South,MG Motors Hyderabad,Hyderabad,TN96BB7371,MZ7XHEN00100022,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Glaze Red,37500.0,C70A9B80-01,PART,CONSUMABLE,OIL 5W30 4L,1.0,908.23,908.23,163.48,1071.71,1071.71,WO-C70A9B80,WTY,865.52,0.0,24.25
DL005,South,MG001,2024-05-08,11:24:00,South,MG Motors Hyderabad,Hyderabad,TS89AA7251,MZ7XHEN00100022,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Glaze Red,37500.0,C70A9B80-02,PART,FILTER,OIL FILTER,1.0,203.76,203.76,36.68,240.44,240.44,WO-C70A9B80,WTY,224.88,0.0,9.6
DL005,South,MG001,2024-05-08,11:24:00,South,MG Motors Hyderabad,Hyderabad,GJ71AA1212,MZ7XHEN00100022,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Glaze Red,37500.0,C70A9B80-03,LAB,LABOUR,LABOUR OIL,1.0,377.51,377.51,67.95,445.46,445.46,WO-C70A9B80,WTY,439.67,0.0,21.73
DL004,South,MG001,2024-07-09,23:24:00,South,MG Motors Chennai,Chennai,GJ97BB9955,MZ7XHEN00100022,CLOSED,TYRE_ROTATION,HECTOR,MG Hector,Glaze Red,40000.0,6BC15D59-01,LAB,LABOUR,LABOUR TYRE,1.0,356.18,356.18,64.11,420.29,420.29,WO-6BC15D59,PAID,0.0,73.14,17.44
DL004,South,MG001,2024-07-09,23:24:00,South,MG Motors Chennai,Chennai,MH24AB9418,MZ7XHEN00100022,CLOSED,FULL_SERVICE,HECTOR,MG Hector,Glaze Red,40000.0,41FB9A6B-01,PART,CONSUMABLE,OIL 5W30 4L,1.0,992.86,992.86,178.71,1171.57,1171.57,WO-41FB9A6B,PAID,0.0,68.93,10.39
DL004,South,MG001,2024-07-09,23:24:00,South,MG Motors Chennai,Chennai,TS17AB5178,MZ7XHEN00100022,CLOSED,FULL_SERVICE,HECTOR,MG Hector,Glaze Red,40000.0,41FB9A6B-02,PART,FILTER,OIL FILTER,1.0,191.94,191.94,34.55,226.49,226.49,WO-41FB9A6B,PAID,0.0,1.84,3.16
DL004,South,MG001,2024-07-09,23:24:00,South,MG Motors Chennai,Chennai,DL20AC1833,MZ7XHEN00100022,CLOSED,FULL_SERVICE,HECTOR,MG Hector,Glaze Red,40000.0,41FB9A6B-03,PART,FILTER,AIR FILTER,1.0,401.69,401.69,72.3,473.99,473.99,WO-41FB9A6B,PAID,0.0,44.21,22.22
DL004,South,MG001,2024-07-09,23:24:00,South,MG Motors Chennai,Chennai,TS63BB6866,MZ7XHEN00100022,CLOSED,FULL_SERVICE,HECTOR,MG Hector,Glaze Red,40000.0,41FB9A6B-04,PART,FILTER,FUEL FILTER,1.0,543.42,543.42,97.82,641.24,641.24,WO-41FB9A6B,PAID,0.0,80.2,27.03
DL004,South,MG001,2024-07-09,23:24:00,South,MG Motors Chennai,Chennai,KA67AA9276,MZ7XHEN00100022,CLOSED,FULL_SERVICE,HECTOR,MG Hector,Glaze Red,40000.0,41FB9A6B-05,LAB,LABOUR,LABOUR FULL,1.0,1258.3,1258.3,226.49,1484.79,1484.79,WO-41FB9A6B,PAID,0.0,210.15,39.01
DL005,South,MG001,2024-11-11,23:24:00,South,MG Motors Hyderabad,Hyderabad,GJ43AC5809,MZ7XHEN00100022,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Glaze Red,45000.0,D539D272-01,PART,CONSUMABLE,OIL 5W30 4L,1.0,880.68,880.68,158.52,1039.2,1039.2,WO-D539D272,WTY,836.37,0.0,45.9
DL005,South,MG001,2024-11-11,23:24:00,South,MG Motors Hyderabad,Hyderabad,DL15AC8301,MZ7XHEN00100022,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Glaze Red,45000.0,D539D272-02,PART,FILTER,OIL FILTER,1.0,201.84,201.84,36.33,238.17,238.17,WO-D539D272,WTY,220.5,0.0,6.32
DL005,South,MG001,2024-11-11,23:24:00,South,MG Motors Hyderabad,Hyderabad,TN06AC7248,MZ7XHEN00100022,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Glaze Red,45000.0,D539D272-03,LAB,LABOUR,LABOUR OIL,1.0,348.07,348.07,62.65,410.72,410.72,WO-D539D272,WTY,366.64,0.0,18.86
DL002,West,MG001,2024-11-11,23:24:00,West,MG Motors Mumbai,Mumbai,GJ66BB8300,MZ7XHEN00100022,CLOSED,BRAKE_CHECK,HECTOR,MG Hector,Glaze Red,45000.0,00E9C846-01,PART,SPARE,BRAKE PAD F,1.0,2810.36,2810.36,505.86,3316.22,3316.22,WO-00E9C846,WTY,2602.73,0.0,151.11
DL002,West,MG001,2024-11-11,23:24:00,West,MG Motors Mumbai,Mumbai,GJ66AA2572,MZ7XHEN00100022,CLOSED,BRAKE_CHECK,HECTOR,MG Hector,Glaze Red,45000.0,00E9C846-02,PART,SPARE,BRAKE PAD R,1.0,1986.8,1986.8,357.62,2344.42,2344.42,WO-00E9C846,WTY,1849.58,0.0,76.37
DL002,West,MG001,2024-11-11,23:24:00,West,MG Motors Mumbai,Mumbai,DL81AA4453,MZ7XHEN00100022,CLOSED,BRAKE_CHECK,HECTOR,MG Hector,Glaze Red,45000.0,00E9C846-03,LAB,LABOUR,LABOUR BRAKE,1.0,900.44,900.44,162.08,1062.52,1062.52,WO-00E9C846,WTY,1048.58,0.0,28.58
DL001,North,MG001,2024-07-11,12:00:00,North,MG Motors New Delhi,New Delhi,WB83AA3519,MZ7XZSP00100023,CLOSED,TYRE_ROTATION,ZSEV,MG ZS EV,Starry Black,30000.0,C98869AF-01,LAB,LABOUR,LABOUR TYRE,1.0,372.99,372.99,67.14,440.13,440.13,WO-C98869AF,PAID,0.0,37.34,2.29
DL001,North,MG001,2024-07-11,12:00:00,North,MG Motors New Delhi,New Delhi,TS72AA4729,MZ7XZSP00100023,CLOSED,AC_SERVICE,ZSEV,MG ZS EV,Starry Black,30000.0,07084EF4-01,PART,CONSUMABLE,AC GAS R134,1.0,611.37,611.37,110.05,721.42,721.42,WO-07084EF4,PAID,0.0,10.57,6.42
DL001,North,MG001,2024-07-11,12:00:00,North,MG Motors New Delhi,New Delhi,WB56AC1276,MZ7XZSP00100023,CLOSED,AC_SERVICE,ZSEV,MG ZS EV,Starry Black,30000.0,07084EF4-02,PART,FILTER,CABIN FILTER,1.0,773.3,773.3,139.19,912.49,912.49,WO-07084EF4,PAID,0.0,74.39,20.58
DL001,North,MG001,2024-07-11,12:00:00,North,MG Motors New Delhi,New Delhi,MH97BB1745,MZ7XZSP00100023,CLOSED,AC_SERVICE,ZSEV,MG ZS EV,Starry Black,30000.0,07084EF4-03,LAB,LABOUR,LABOUR AC,1.0,655.8,655.8,118.04,773.84,773.84,WO-07084EF4,PAID,0.0,18.31,0.23
DL002,West,MG001,2024-02-17,23:02:24,West,MG Motors Mumbai,Mumbai,MH37BA7249,MZ7XHEP00100024,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Harbour Grey,67500.0,3AD2B53D-01,PART,CONSUMABLE,OIL 5W30 4L,1.0,900.57,900.57,162.1,1062.67,1062.67,WO-3AD2B53D,WTY,836.27,0.0,36.44
DL002,West,MG001,2024-02-17,23:02:24,West,MG Motors Mumbai,Mumbai,TN18BA9941,MZ7XHEP00100024,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Harbour Grey,67500.0,3AD2B53D-02,PART,FILTER,OIL FILTER,1.0,219.51,219.51,39.51,259.02,259.02,WO-3AD2B53D,WTY,232.66,0.0,6.14
DL002,West,MG001,2024-02-17,23:02:24,West,MG Motors Mumbai,Mumbai,GJ02BB3316,MZ7XHEP00100024,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Harbour Grey,67500.0,3AD2B53D-03,LAB,LABOUR,LABOUR OIL,1.0,359.0,359.0,64.62,423.62,423.62,WO-3AD2B53D,WTY,377.11,0.0,6.31
DL002,West,MG001,2024-03-13,23:02:24,West,MG Motors Mumbai,Mumbai,TS27AC4469,MZ7XHEP00100024,CLOSED,TYRE_ROTATION,HECTOR,MG Hector,Harbour Grey,70000.0,9236EEE5-01,LAB,LABOUR,LABOUR TYRE,1.0,319.33,319.33,57.48,376.81,376.81,WO-9236EEE5,WTY,324.49,0.0,17.84
DL002,West,MG001,2024-05-02,23:02:24,West,MG Motors Mumbai,Mumbai,TS25AA3971,MZ7XHEP00100024,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Harbour Grey,75000.0,8498C625-01,PART,CONSUMABLE,OIL 5W30 4L,1.0,902.51,902.51,162.45,1064.96,1064.96,WO-8498C625,PAID,0.0,34.28,11.76
DL002,West,MG001,2024-05-02,23:02:24,West,MG Motors Mumbai,Mumbai,PB83BB2198,MZ7XHEP00100024,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Harbour Grey,75000.0,8498C625-02,PART,FILTER,OIL FILTER,1.0,247.1,247.1,44.48,291.58,291.58,WO-8498C625,PAID,0.0,33.08,0.79
DL002,West,MG001,2024-05-02,23:02:24,West,MG Motors Mumbai,Mumbai,PB43AC3100,MZ7XHEP00100024,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Harbour Grey,75000.0,8498C625-03,LAB,LABOUR,LABOUR OIL,1.0,358.13,358.13,64.46,422.59,422.59,WO-8498C625,PAID,0.0,5.69,2.07
DL002,West,MG001,2024-06-21,23:02:24,West,MG Motors Mumbai,Mumbai,PB58AC6008,MZ7XHEP00100024,CLOSED,TYRE_ROTATION,HECTOR,MG Hector,Harbour Grey,80000.0,ABB0BFF6-01,LAB,LABOUR,LABOUR TYRE,1.0,257.03,257.03,46.27,303.3,303.3,WO-ABB0BFF6,WTY,218.66,0.0,2.93
DL002,West,MG001,2024-06-21,23:02:24,West,MG Motors Mumbai,Mumbai,KA01AC5033,MZ7XHEP00100024,CLOSED,FULL_SERVICE,HECTOR,MG Hector,Harbour Grey,80000.0,85F145D2-01,PART,CONSUMABLE,OIL 5W30 4L,1.0,913.37,913.37,164.41,1077.78,1077.78,WO-85F145D2,WTY,1015.6,0.0,51.66
DL002,West,MG001,2024-06-21,23:02:24,West,MG Motors Mumbai,Mumbai,TS47AB6432,MZ7XHEP00100024,CLOSED,FULL_SERVICE,HECTOR,MG Hector,Harbour Grey,80000.0,85F145D2-02,PART,FILTER,OIL FILTER,1.0,258.57,258.57,46.54,305.11,305.11,WO-85F145D2,WTY,278.77,0.0,9.78
DL002,West,MG001,2024-06-21,23:02:24,West,MG Motors Mumbai,Mumbai,TS63BB2783,MZ7XHEP00100024,CLOSED,FULL_SERVICE,HECTOR,MG Hector,Harbour Grey,80000.0,85F145D2-03,PART,FILTER,AIR FILTER,1.0,663.37,663.37,119.41,782.78,782.78,WO-85F145D2,WTY,656.64,0.0,14.04
DL002,West,MG001,2024-06-21,23:02:24,West,MG Motors Mumbai,Mumbai,KA69AB5312,MZ7XHEP00100024,CLOSED,FULL_SERVICE,HECTOR,MG Hector,Harbour Grey,80000.0,85F145D2-04,PART,FILTER,FUEL FILTER,1.0,393.94,393.94,70.91,464.85,464.85,WO-85F145D2,WTY,409.99,0.0,19.57
DL002,West,MG001,2024-06-21,23:02:24,West,MG Motors Mumbai,Mumbai,DL65AA7637,MZ7XHEP00100024,CLOSED,FULL_SERVICE,HECTOR,MG Hector,Harbour Grey,80000.0,85F145D2-05,LAB,LABOUR,LABOUR FULL,1.0,1786.84,1786.84,321.63,2108.47,2108.47,WO-85F145D2,WTY,1872.29,0.0,76.69
DL004,South,MG001,2024-07-16,23:02:24,South,MG Motors Chennai,Chennai,PB84AB6993,MZ7XHEP00100024,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Harbour Grey,82500.0,E8132931-01,PART,CONSUMABLE,OIL 5W30 4L,1.0,910.32,910.32,163.86,1074.18,1074.18,WO-E8132931,PAID,0.0,116.76,53.64
DL004,South,MG001,2024-07-16,23:02:24,South,MG Motors Chennai,Chennai,TS18BA9210,MZ7XHEP00100024,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Harbour Grey,82500.0,E8132931-02,PART,FILTER,OIL FILTER,1.0,219.25,219.25,39.46,258.71,258.71,WO-E8132931,PAID,0.0,46.12,7.63
DL004,South,MG001,2024-07-16,23:02:24,South,MG Motors Chennai,Chennai,TN79AB9423,MZ7XHEP00100024,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Harbour Grey,82500.0,E8132931-03,LAB,LABOUR,LABOUR OIL,1.0,402.08,402.08,72.37,474.45,474.45,WO-E8132931,PAID,0.0,37.65,11.91
DL002,West,MG001,2024-09-29,23:02:24,West,MG Motors Mumbai,Mumbai,KA95BA6878,MZ7XHEP00100024,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Harbour Grey,90000.0,183BF177-01,PART,CONSUMABLE,OIL 5W30 4L,1.0,913.27,913.27,164.39,1077.66,1077.66,WO-183BF177,WTY,937.29,0.0,47.0
DL002,West,MG001,2024-09-29,23:02:24,West,MG Motors Mumbai,Mumbai,TS48AB1701,MZ7XHEP00100024,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Harbour Grey,90000.0,183BF177-02,PART,FILTER,OIL FILTER,1.0,184.04,184.04,33.13,217.17,217.17,WO-183BF177,WTY,201.63,0.0,2.52
DL002,West,MG001,2024-09-29,23:02:24,West,MG Motors Mumbai,Mumbai,WB61BA1760,MZ7XHEP00100024,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Harbour Grey,90000.0,183BF177-03,LAB,LABOUR,LABOUR OIL,1.0,433.72,433.72,78.07,511.79,511.79,WO-183BF177,WTY,437.77,0.0,20.25
DL002,West,MG001,2024-09-29,23:02:24,West,MG Motors Mumbai,Mumbai,TS95AC9918,MZ7XHEP00100024,CLOSED,TYRE_ROTATION,HECTOR,MG Hector,Harbour Grey,90000.0,DFDECE7B-01,LAB,LABOUR,LABOUR TYRE,1.0,220.65,220.65,39.72,260.37,260.37,WO-DFDECE7B,PAID,0.0,50.43,8.25
DL002,West,MG001,2024-09-29,23:02:24,West,MG Motors Mumbai,Mumbai,MH67AC7165,MZ7XHEP00100024,CLOSED,BRAKE_CHECK,HECTOR,MG Hector,Harbour Grey,90000.0,38A2FB3C-01,PART,SPARE,BRAKE PAD F,1.0,2567.78,2567.78,462.2,3029.98,3029.98,WO-38A2FB3C,WTY,2655.18,0.0,136.08
DL002,West,MG001,2024-09-29,23:02:24,West,MG Motors Mumbai,Mumbai,GJ63BA1108,MZ7XHEP00100024,CLOSED,BRAKE_CHECK,HECTOR,MG Hector,Harbour Grey,90000.0,38A2FB3C-02,PART,SPARE,BRAKE PAD R,1.0,2472.67,2472.67,445.08,2917.75,2917.75,WO-38A2FB3C,WTY,2237.53,0.0,59.21
DL002,West,MG001,2024-09-29,23:02:24,West,MG Motors Mumbai,Mumbai,MH66AC4465,MZ7XHEP00100024,CLOSED,BRAKE_CHECK,HECTOR,MG Hector,Harbour Grey,90000.0,38A2FB3C-03,LAB,LABOUR,LABOUR BRAKE,1.0,1101.1,1101.1,198.2,1299.3,1299.3,WO-38A2FB3C,WTY,963.68,0.0,10.76
DL002,West,MG001,2024-09-29,23:02:24,West,MG Motors Mumbai,Mumbai,WB43AA8889,MZ7XHEP00100024,CLOSED,AC_SERVICE,HECTOR,MG Hector,Harbour Grey,90000.0,9302E099-01,PART,CONSUMABLE,AC GAS R134,1.0,780.61,780.61,140.51,921.12,921.12,WO-9302E099,WTY,870.54,0.0,30.45
DL002,West,MG001,2024-09-29,23:02:24,West,MG Motors Mumbai,Mumbai,WB03AB1706,MZ7XHEP00100024,CLOSED,AC_SERVICE,HECTOR,MG Hector,Harbour Grey,90000.0,9302E099-02,PART,FILTER,CABIN FILTER,1.0,702.57,702.57,126.46,829.03,829.03,WO-9302E099,WTY,699.46,0.0,24.49
DL002,West,MG001,2024-09-29,23:02:24,West,MG Motors Mumbai,Mumbai,DL74AB1916,MZ7XHEP00100024,CLOSED,AC_SERVICE,HECTOR,MG Hector,Harbour Grey,90000.0,9302E099-03,LAB,LABOUR,LABOUR AC,1.0,551.15,551.15,99.21,650.36,650.36,WO-9302E099,WTY,570.82,0.0,4.38
DL002,West,MG001,2024-12-13,23:02:24,West,MG Motors Mumbai,Mumbai,DL93AC2404,MZ7XHEP00100024,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Harbour Grey,97500.0,EC09A41A-01,PART,CONSUMABLE,OIL 5W30 4L,1.0,903.33,903.33,162.6,1065.93,1065.93,WO-EC09A41A,PAID,0.0,86.44,51.66
DL002,West,MG001,2024-12-13,23:02:24,West,MG Motors Mumbai,Mumbai,PB22AB7730,MZ7XHEP00100024,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Harbour Grey,97500.0,EC09A41A-02,PART,FILTER,OIL FILTER,1.0,201.66,201.66,36.3,237.96,237.96,WO-EC09A41A,PAID,0.0,28.87,5.61
DL002,West,MG001,2024-12-13,23:02:24,West,MG Motors Mumbai,Mumbai,KA80BB5333,MZ7XHEP00100024,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Harbour Grey,97500.0,EC09A41A-03,LAB,LABOUR,LABOUR OIL,1.0,420.17,420.17,75.63,495.8,495.8,WO-EC09A41A,PAID,0.0,78.79,20.34
DL002,West,MG001,2024-03-04,16:25:15,West,MG Motors Mumbai,Mumbai,WB50AB2778,MZ7XGLP00100025,CLOSED,OIL_CHANGE,GLOSTER,MG Gloster,Glaze Red,67500.0,07CA6B7E-01,PART,CONSUMABLE,OIL 5W30 4L,1.0,984.47,984.47,177.2,1161.67,1161.67,WO-07CA6B7E,PAID,0.0,138.59,4.0
DL002,West,MG001,2024-03-04,16:25:15,West,MG Motors Mumbai,Mumbai,WB20BB2577,MZ7XGLP00100025,CLOSED,OIL_CHANGE,GLOSTER,MG Gloster,Glaze Red,67500.0,07CA6B7E-02,PART,FILTER,OIL FILTER,1.0,181.66,181.66,32.7,214.36,214.36,WO-07CA6B7E,PAID,0.0,22.41,9.75
DL002,West,MG001,2024-03-04,16:25:15,West,MG Motors Mumbai,Mumbai,MH12BA3135,MZ7XGLP00100025,CLOSED,OIL_CHANGE,GLOSTER,MG Gloster,Glaze Red,67500.0,07CA6B7E-03,LAB,LABOUR,LABOUR OIL,1.0,335.48,335.48,60.39,395.87,395.87,WO-07CA6B7E,PAID,0.0,71.38,11.87
DL001,North,MG001,2024-03-31,00:00:00,North,MG Motors New Delhi,New Delhi,GJ06BB8028,MZ7XGLP00100025,CLOSED,TYRE_ROTATION,GLOSTER,MG Gloster,Glaze Red,70000.0,86BC195C-01,LAB,LABOUR,LABOUR TYRE,1.0,354.97,354.97,63.89,418.86,418.86,WO-86BC195C,PAID,0.0,54.39,10.93
DL002,West,MG001,2024-05-22,15:09:28,West,MG Motors Mumbai,Mumbai,MH55AB5170,MZ7XGLP00100025,CLOSED,OIL_CHANGE,GLOSTER,MG Gloster,Glaze Red,75000.0,C661043C-01,PART,CONSUMABLE,OIL 5W30 4L,1.0,957.91,957.91,172.42,1130.33,1130.33,WO-C661043C,PAID,0.0,86.18,33.29
DL002,West,MG001,2024-05-22,15:09:28,West,MG Motors Mumbai,Mumbai,TS77BB7695,MZ7XGLP00100025,CLOSED,OIL_CHANGE,GLOSTER,MG Gloster,Glaze Red,75000.0,C661043C-02,PART,FILTER,OIL FILTER,1.0,227.71,227.71,40.99,268.7,268.7,WO-C661043C,PAID,0.0,12.5,11.54
DL002,West,MG001,2024-05-22,15:09:28,West,MG Motors Mumbai,Mumbai,DL74BB2930,MZ7XGLP00100025,CLOSED,OIL_CHANGE,GLOSTER,MG Gloster,Glaze Red,75000.0,C661043C-03,LAB,LABOUR,LABOUR OIL,1.0,351.56,351.56,63.28,414.84,414.84,WO-C661043C,PAID,0.0,0.45,15.42
DL002,West,MG001,2024-07-14,06:18:56,West,MG Motors Mumbai,Mumbai,MH20BA5155,MZ7XGLP00100025,CLOSED,TYRE_ROTATION,GLOSTER,MG Gloster,Glaze Red,80000.0,00FA4208-01,LAB,LABOUR,LABOUR TYRE,1.0,241.08,241.08,43.39,284.47,284.47,WO-00FA4208,WTY,267.77,0.0,5.82
DL002,West,MG001,2024-07-14,06:18:56,West,MG Motors Mumbai,Mumbai,WB97AB7770,MZ7XGLP00100025,CLOSED,FULL_SERVICE,GLOSTER,MG Gloster,Glaze Red,80000.0,BBFCEE4D-01,PART,CONSUMABLE,OIL 5W30 4L,1.0,912.93,912.93,164.33,1077.26,1077.26,WO-BBFCEE4D,WTY,951.83,0.0,53.42
DL002,West,MG001,2024-07-14,06:18:56,West,MG Motors Mumbai,Mumbai,PB33AC6641,MZ7XGLP00100025,CLOSED,FULL_SERVICE,GLOSTER,MG Gloster,Glaze Red,80000.0,BBFCEE4D-02,PART,FILTER,OIL FILTER,1.0,235.21,235.21,42.34,277.55,277.55,WO-BBFCEE4D,WTY,240.71,0.0,2.48
DL002,West,MG001,2024-07-14,06:18:56,West,MG Motors Mumbai,Mumbai,MH96AB8317,MZ7XGLP00100025,CLOSED,FULL_SERVICE,GLOSTER,MG Gloster,Glaze Red,80000.0,BBFCEE4D-03,PART,FILTER,AIR FILTER,1.0,632.26,632.26,113.81,746.07,746.07,WO-BBFCEE4D,WTY,611.36,0.0,5.15
DL002,West,MG001,2024-07-14,06:18:56,West,MG Motors Mumbai,Mumbai,WB44BB1852,MZ7XGLP00100025,CLOSED,FULL_SERVICE,GLOSTER,MG Gloster,Glaze Red,80000.0,BBFCEE4D-04,PART,FILTER,FUEL FILTER,1.0,545.78,545.78,98.24,644.02,644.02,WO-BBFCEE4D,WTY,634.21,0.0,3.23
DL002,West,MG001,2024-07-14,06:18:56,West,MG Motors Mumbai,Mumbai,MH19BA8133,MZ7XGLP00100025,CLOSED,FULL_SERVICE,GLOSTER,MG Gloster,Glaze Red,80000.0,BBFCEE4D-05,LAB,LABOUR,LABOUR FULL,1.0,1328.59,1328.59,239.15,1567.74,1567.74,WO-BBFCEE4D,WTY,1551.08,0.0,0.41
DL002,West,MG001,2024-08-09,13:53:41,West,MG Motors Mumbai,Mumbai,WB79BB5693,MZ7XGLP00100025,CLOSED,OIL_CHANGE,GLOSTER,MG Gloster,Glaze Red,82500.0,D3F9AEAB-01,PART,CONSUMABLE,OIL 5W30 4L,1.0,874.17,874.17,157.35,1031.52,1031.52,WO-D3F9AEAB,WTY,910.53,0.0,37.37
DL002,West,MG001,2024-08-09,13:53:41,West,MG Motors Mumbai,Mumbai,KA82BA8192,MZ7XGLP00100025,CLOSED,OIL_CHANGE,GLOSTER,MG Gloster,Glaze Red,82500.0,D3F9AEAB-02,PART,FILTER,OIL FILTER,1.0,251.16,251.16,45.21,296.37,296.37,WO-D3F9AEAB,WTY,260.58,0.0,14.01
DL002,West,MG001,2024-08-09,13:53:41,West,MG Motors Mumbai,Mumbai,TS25AA9364,MZ7XGLP00100025,CLOSED,OIL_CHANGE,GLOSTER,MG Gloster,Glaze Red,82500.0,D3F9AEAB-03,LAB,LABOUR,LABOUR OIL,1.0,302.14,302.14,54.39,356.53,356.53,WO-D3F9AEAB,WTY,340.55,0.0,16.59
DL002,West,MG001,2024-10-27,12:37:53,West,MG Motors Mumbai,Mumbai,DL21AA5520,MZ7XGLP00100025,CLOSED,OIL_CHANGE,GLOSTER,MG Gloster,Glaze Red,90000.0,575DCDF6-01,PART,CONSUMABLE,OIL 5W30 4L,1.0,833.9,833.9,150.1,984.0,984.0,WO-575DCDF6,WTY,699.45,0.0,11.77
DL002,West,MG001,2024-10-27,12:37:53,West,MG Motors Mumbai,Mumbai,TN67AA2124,MZ7XGLP00100025,CLOSED,OIL_CHANGE,GLOSTER,MG Gloster,Glaze Red,90000.0,575DCDF6-02,PART,FILTER,OIL FILTER,1.0,257.97,257.97,46.43,304.4,304.4,WO-575DCDF6,WTY,245.33,0.0,6.01
